,Gallery,Address,Postcode,Web,lat,lon
0,Frestonian Gallery,United Kingdom London 2 Olaf Street,W11 4BE,http://frestoniangallery.com,51.51024,-0.21775
1,Serena Morton,United Kingdom London 343 Ladbroke Grove,W10 6HA,http://serenamorton.com/contact-us,51.5236724,-0.2138597
2,Westbank,United Kingdom London 3-5 Thorpe Close Westway,W10 5XL,http://londonwestbank.com,51.5179343,-0.2093884
3,Palm Tree Gallery,United Kingdom London 291 Portobello Road,W10 5TD,https://palmtreegallery.com,51.5190059,-0.2076413
4,The Muse,United Kingdom London 269 Portobello Road,W11 1LR,http://themuseat269.com,51.5180919,-0.2070247
5,Graffik Gallery,United Kingdom London 284 Portobello Road,W10 5TE,https://graffikgallery.co.uk,51.5194055,-0.2074712
6,Golborne Gallery,United Kingdom London 72 Golborne Road,W10 5PS,https://golbornegallery.com,51.5221275,-0.2083687
7,Unit I Gallery | Workshop,United Kingdom London 1 Bard Road,W10 6TP,http://unit1gallery-workshop.com,51.51188,-0.21954
8,50 Golborne,United Kingdom London 50 Golborne Road,W10 5PR,http://50golborne-artdesign.com,51.5225631,-0.2077397
9,Schneideman,United Kingdom London 331 Portobello Road,W10 5SA,http://alexschneideman.net,51.5210102,-0.209933
10,Maddox Gallery,United Kingdom London 112 Westbourne Grove,W2 5RU,https://maddoxgallery.co.uk,51.5152345,-0.1945058
11,WhiteWall Central London,United Kingdom London 100 Westbourne Grove,W2 5RU,https://whitewallgalleries.com,51.5152844,-0.194095
